Recommendation,Description,Link,Action
Consider cyber security insurance ,"Consider cyber insurance to protect your business. The cost of dealing with a cyber-attack can be much more than just repairing databases, strengthening security or replacing laptops. Cyber liability insurance cover can help your business with the costs of recovering from an attack. Like all insurance policies, it is very important your business understands what it is covered for.",,
Get updates on the latest risks,Keep up with the latest scams and security risks to your business. Sign up for the Australian Cyber Security Centre's (ACSC) Partnership Program for access to up-to-date information on cyber security issues and how to deal with them.,,
Get cyber security advice,"If you want to talk to someone about cyber security, the ACSC has a 24/7 Cyber Security Hotline.
The hotline provides over the phone support to both prepare for and respond to cyber incidents. Learn more on the ACSC website or call 1300 CYBER1",,
Keep your devices and software up to date,,,Now
Use multi-factor authentication,,,Now
"Limit access to your devices, systems and applications",,,Now
Test your business backups on a regular basis,,,Now
Use strong passwords,,,Now
Control or manage software installation,,,Now
Detect cyber security issues in your internal IT systems,,,Next
"Handle sensitive client, business and staff information securely",,,Next
Dispose of or re-purpose sensitive information securely,,,Next
Use secure methods to share confidential or sensitive information,,,Next
Provide staff cyber security awareness training,,,Next
Carry out regular security testing ,,,Later
Address issues identified through security testing,,,Later
Understand your business' compliance obligations,,,Later
"Keep your business mobile phones, laptops and tablets secure",,,Later
Recover your business systems after a cyber security incident,,,Later
Select suppliers who are diligent with cyber security,,,Later
Create a plan to respond to cyber security incidents,,,Later
Conduct background screenings when hiring new staff,,,Later
