Guideline,Section,Topic,Identifier,Revision,Updated,All,OS,P,S,TS,ML1,ML2,ML3,Description,Responsible Entity,Implementation Status,Implementation Comments
Guidelines for Cyber Security Roles,Chief Information Security Officer,Overseeing cyber security awareness raising,ISM-0735,3,45648,Yes,Yes,Yes,Yes,Yes,No,No,No,"The CISO oversees the development, implementation and maintenance of their organisation’s cyber security awareness training program.",,,
Guidelines for Cyber Security Roles,System owners,System ownership and oversight,ISM-1071,1,45553,Yes,Yes,Yes,Yes,Yes,No,No,No,Each system has a designated system owner.,,,
Guidelines for Cyber Security Roles,System owners,System ownership and oversight,ISM-1525,1,45312,Yes,Yes,Yes,Yes,Yes,No,No,No,System owners register each system with its authorising officer.,,,
Guidelines for Cyber Security Roles,System owners,Protecting systems and their resources,ISM-1633,0,45312,Yes,Yes,Yes,Yes,Yes,No,No,No,"System owners determine the type, value and security objectives for each system based on an assessment of the impact if it were to be compromised.",,,
Guidelines for Cyber Security Roles,System owners,Protecting systems and their resources,ISM-1634,1,45465,Yes,Yes,Yes,Yes,Yes,No,No,No,System owners select controls for each system and tailor them to achieve desired security objectives.,,,
Guidelines for Cyber Security Roles,System owners,Protecting systems and their resources,ISM-1635,2,45465,Yes,Yes,Yes,Yes,Yes,No,No,No,System owners implement controls for each system and its operating environment.,,,
Guidelines for Cyber Security Roles,System owners,Protecting systems and their resources,ISM-1636,1,45465,Yes,Yes,Yes,Yes,Yes,No,No,No,System owners ensure controls for each system and its operating environment are assessed to determine if they have been implemented correctly and are operating as intended.,,,
Guidelines for Cyber Security Roles,System owners,Protecting systems and their resources,ISM-0027,4,45312,Yes,Yes,Yes,Yes,Yes,No,No,No,System owners obtain authorisation to operate each system from its authorising officer based on the acceptance of the security risks associated with its operation.,,,
Guidelines for Cyber Security Roles,System owners,Protecting systems and their resources,ISM-1526,2,45465,Yes,Yes,Yes,Yes,Yes,No,No,No,"System owners monitor each system, and associated cyber threats, security risks and controls, on an ongoing basis.",,,
Guidelines for Cyber Security Roles,System owners,Annual reporting of system security status,ISM-1587,0,45524,Yes,Yes,Yes,Yes,Yes,No,No,No,System owners report the security status of each system to its authorising officer at least annually.,,,
Guidelines for Cyber Security Incidents,Managing cyber security incidents,Cyber security incident management policy,ISM-0576,10,45558,Yes,Yes,Yes,Yes,Yes,No,No,No,"A cyber security incident management policy, and associated cyber security incident response plan, is developed, implemented and maintained.",,,
Guidelines for Cyber Security Incidents,Managing cyber security incidents,Cyber security incident management policy,ISM-1784,1,45558,Yes,Yes,Yes,Yes,Yes,No,No,No,"The cyber security incident management policy, including the associated cyber security incident response plan, is exercised at least annually.",,,
Guidelines for Cyber Security Incidents,Managing cyber security incidents,Cyber security incident register,ISM-0125,6,45648,Yes,Yes,Yes,Yes,Yes,No,No,No,"A cyber security incident register is developed, implemented and maintained.",,,
Guidelines for Cyber Security Incidents,Managing cyber security incidents,Cyber security incident register,ISM-1803,0,45648,Yes,Yes,Yes,Yes,Yes,No,No,No,"A cyber security incident register contains the following for each cyber security incident:
• the date the cyber security incident occurred
• the date the cyber security incident was discovered
• a description of the cyber security incident
• any actions taken in response to the cyber security incident
• to whom the cyber security incident was reported.",,,
Guidelines for Cyber Security Incidents,Managing cyber security incidents,Trusted insider program,ISM-1625,1,45648,Yes,Yes,Yes,Yes,Yes,No,No,No,"A trusted insider program is developed, implemented and maintained.",,,
Guidelines for Cyber Security Incidents,Managing cyber security incidents,Trusted insider program,ISM-1626,0,45616,Yes,Yes,Yes,Yes,Yes,No,No,No,Legal advice is sought regarding the development and implementation of a trusted insider program.,,,
Guidelines for Cyber Security Incidents,Managing cyber security incidents,Access to sufficient data sources and tools,ISM-0120,5,45432,Yes,Yes,Yes,Yes,Yes,No,No,No,Cyber security personnel have access to sufficient data sources and tools to ensure that systems can be monitored for key indicators of compromise.,,,
Guidelines for Cyber Security Incidents,Managing cyber security incidents,Reporting cyber security incidents,ISM-0123,4,45466,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"Cyber security incidents are reported to the Chief Information Security Officer, or one of their delegates, as soon as possible after they occur or are discovered.",,,
Guidelines for Cyber Security Incidents,Managing cyber security incidents,Reporting cyber security incidents to ASD,ISM-0140,8,45558,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Cyber security incidents are reported to ASD as soon as possible after they occur or are discovered.,,,
Guidelines for Cyber Security Incidents,Managing cyber security incidents,Reporting cyber security incidents to customers and the public,ISM-1880,0,45649,Yes,Yes,Yes,Yes,Yes,No,No,No,Cyber security incidents that involve customer data are reported to customers and the public in a timely manner after they occur or are discovered.,,,
Guidelines for Cyber Security Incidents,Managing cyber security incidents,Reporting cyber security incidents to customers and the public,ISM-1881,0,45649,Yes,Yes,Yes,Yes,Yes,No,No,No,Cyber security incidents that do not involve customer data are reported to customers and the public in a timely manner after they occur or are discovered.,,,
Guidelines for Cyber Security Incidents,Responding to cyber security incidents,Enacting cyber security incident response plans,ISM-1819,2,45649,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"Following the identification of a cyber security incident, the cyber security incident response plan is enacted.",,,
Guidelines for Cyber Security Incidents,Responding to cyber security incidents,Handling and containing data spills,ISM-0133,2,45464,Yes,Yes,Yes,Yes,Yes,No,No,No,"When a data spill occurs, data owners are advised and access to the data is restricted.",,,
Guidelines for Cyber Security Incidents,Responding to cyber security incidents,Handling and containing malicious code infections,ISM-0917,7,45584,Yes,Yes,Yes,Yes,Yes,No,No,No,"When malicious code is detected, the following steps are taken to handle the infection:
• the infected systems are isolated
• all previously connected media used in the period leading up to the infection are scanned for signs of infection and isolated if necessary
• antivirus software is used to remove the infection from infected systems and media
• if the infection cannot be reliably removed, systems are restored from a known good backup or rebuilt.",,,
Guidelines for Cyber Security Incidents,Responding to cyber security incidents,Handling and containing intrusions,ISM-0137,4,45647,Yes,Yes,Yes,Yes,Yes,No,No,No,Legal advice is sought before allowing intrusion activity to continue on a system for the purpose of collecting further data or evidence.,,,
Guidelines for Cyber Security Incidents,Responding to cyber security incidents,Handling and containing intrusions,ISM-1609,2,45647,Yes,Yes,Yes,Yes,Yes,No,No,No,System owners are consulted before allowing intrusion activity to continue on a system for the purpose of collecting further data or evidence.,,,
Guidelines for Cyber Security Incidents,Responding to cyber security incidents,Handling and containing intrusions,ISM-1731,0,45647,Yes,Yes,Yes,Yes,Yes,No,No,No,Planning and coordination of intrusion remediation activities are conducted on a separate system to that which has been compromised.,,,
Guidelines for Cyber Security Incidents,Responding to cyber security incidents,Handling and containing intrusions,ISM-1732,0,45647,Yes,Yes,Yes,Yes,Yes,No,No,No,"To the extent possible, all intrusion remediation activities are conducted in a coordinated manner during the same planned outage.",,,
Guidelines for Cyber Security Incidents,Responding to cyber security incidents,Handling and containing intrusions,ISM-1213,3,45558,Yes,Yes,Yes,Yes,Yes,No,No,No,"Following intrusion remediation activities, full network traffic is captured for at least seven days and analysed to determine whether malicious actors have been successfully removed from the system.",,,
Guidelines for Cyber Security Incidents,Responding to cyber security incidents,Maintaining the integrity of evidence,ISM-0138,5,45374,Yes,Yes,Yes,Yes,Yes,No,No,No,"The integrity of evidence gathered during an investigation is maintained by investigators:
• recording all of their actions
• maintaining a proper chain of custody
• following all instructions provided by relevant law enforcement agencies.",,,
Guidelines for Procurement and Outsourcing,Cyber supply chain risk management,Cyber supply chain risk management activities,ISM-1631,2,45648,Yes,Yes,Yes,Yes,Yes,No,No,No,"Suppliers of applications, ICT equipment and services associated with systems are identified.",,,
Guidelines for Procurement and Outsourcing,Cyber supply chain risk management,Cyber supply chain risk management activities,ISM-1452,4,45557,Yes,Yes,Yes,Yes,Yes,No,No,No,"A supply chain risk assessment is performed for suppliers of applications, ICT equipment and services in order to assess the impact to a system’s security risk profile.",,,
Guidelines for Procurement and Outsourcing,Cyber supply chain risk management,Cyber supply chain risk management activities,ISM-1567,2,45557,Yes,Yes,Yes,Yes,Yes,No,No,No,Suppliers identified as high risk by a cyber supply chain risk assessment are not used.,,,
Guidelines for Procurement and Outsourcing,Cyber supply chain risk management,Cyber supply chain risk management activities,ISM-1568,4,45374,Yes,Yes,Yes,Yes,Yes,No,No,No,"Applications, ICT equipment and services are chosen from suppliers that have demonstrated a commitment to the security of their products and services.",,,
Guidelines for Procurement and Outsourcing,Cyber supply chain risk management,Cyber supply chain risk management activities,ISM-1882,0,45649,Yes,Yes,Yes,Yes,Yes,No,No,No,"Applications, ICT equipment and services are chosen from suppliers that have demonstrated a commitment to transparency for their products and services.",,,
Guidelines for Procurement and Outsourcing,Cyber supply chain risk management,Cyber supply chain risk management activities,ISM-1632,3,45649,Yes,Yes,Yes,Yes,Yes,No,No,No,"Applications, ICT equipment and services are chosen from suppliers that have a strong track record of maintaining the security of their own systems and cyber supply chains.",,,
Guidelines for Procurement and Outsourcing,Cyber supply chain risk management,Cyber supply chain risk management activities,ISM-1569,2,45557,Yes,Yes,Yes,Yes,Yes,No,No,No,"A shared responsibility model is created, documented and shared between suppliers and their customers in order to articulate the security responsibilities of each party.",,,
Guidelines for Procurement and Outsourcing,Cyber supply chain risk management,Supplier relationship management,ISM-1785,1,45648,Yes,Yes,Yes,Yes,Yes,No,No,No,"A supplier relationship management policy is developed, implemented and maintained.",,,
Guidelines for Procurement and Outsourcing,Cyber supply chain risk management,Supplier relationship management,ISM-1786,1,45648,Yes,Yes,Yes,Yes,Yes,No,No,No,"An approved supplier list is developed, implemented and maintained.",,,
Guidelines for Procurement and Outsourcing,Cyber supply chain risk management,"Sourcing applications, ICT equipment and services",ISM-1787,1,45648,Yes,Yes,Yes,Yes,Yes,No,No,No,"Applications, ICT equipment and services are sourced from approved suppliers.",,,
Guidelines for Procurement and Outsourcing,Cyber supply chain risk management,"Sourcing applications, ICT equipment and services",ISM-1788,1,45648,Yes,Yes,Yes,Yes,Yes,No,No,No,"Multiple potential suppliers are identified for sourcing critical applications, ICT equipment and services.",,,
Guidelines for Procurement and Outsourcing,Cyber supply chain risk management,"Sourcing applications, ICT equipment and services",ISM-1789,1,45648,Yes,Yes,Yes,Yes,Yes,No,No,No,Sufficient spares of critical ICT equipment are sourced and kept in reserve.,,,
Guidelines for Procurement and Outsourcing,Cyber supply chain risk management,"Delivery of applications, ICT equipment and services",ISM-1790,0,45557,Yes,Yes,Yes,Yes,Yes,No,No,No,"Applications, ICT equipment and services are delivered in a manner that maintains their integrity.",,,
Guidelines for Procurement and Outsourcing,Cyber supply chain risk management,"Delivery of applications, ICT equipment and services",ISM-1791,0,45557,Yes,Yes,Yes,Yes,Yes,No,No,No,"The integrity of applications, ICT equipment and services are assessed as part of acceptance of products and services.",,,
Guidelines for Procurement and Outsourcing,Cyber supply chain risk management,"Delivery of applications, ICT equipment and services",ISM-1792,0,45557,Yes,Yes,Yes,Yes,Yes,No,No,No,"The authenticity of applications, ICT equipment and services are assessed as part of acceptance of products and services.",,,
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Managed services,ISM-1736,1,45648,Yes,Yes,Yes,Yes,Yes,No,No,No,"A managed service register is developed, implemented, maintained and verified on a regular basis.",,,
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Managed services,ISM-1737,1,45557,Yes,Yes,Yes,Yes,Yes,No,No,No,"A managed service register contains the following for each managed service:
• managed service provider’s name
• managed service’s name
• purpose for using the managed service
• sensitivity or classification of data involved
• due date for the next security assessment of the managed service
• contractual arrangements for the managed service
• point of contact for users of the managed service
• 24/7 contact details for the managed service provider.",,,
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Assessment of managed service providers,ISM-1793,0,45557,Yes,Yes,Yes,Yes,Yes,No,No,No,Managed service providers and their managed services undergo a security assessment by an IRAP assessor at least every 24 months.,,,
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Outsourced cloud services,ISM-1637,2,45648,Yes,Yes,Yes,Yes,Yes,No,No,No,"An outsourced cloud service register is developed, implemented, maintained and verified on a regular basis.",,,
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Outsourced cloud services,ISM-1638,3,45557,Yes,Yes,Yes,Yes,Yes,No,No,No,"An outsourced cloud service register contains the following for each outsourced cloud service:
• cloud service provider’s name
• cloud service’s name
• purpose for using the cloud service
• sensitivity or classification of data involved
• due date for the next security assessment of the cloud service
• contractual arrangements for the cloud service
• point of contact for users of the cloud service
• 24/7 contact details for the cloud service provider.",,,
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Outsourced cloud services,ISM-1529,2,45647,No,No,No,Yes,Yes,No,No,No,Only community or private clouds are used for outsourced SECRET and TOP SECRET cloud services.,,,
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Assessment of outsourced cloud service providers,ISM-1570,1,45465,Yes,Yes,Yes,Yes,Yes,No,No,No,Outsourced cloud service providers and their cloud services undergo a security assessment by an IRAP assessor at least every 24 months.,,,
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Contractual security requirements with service providers,ISM-1395,7,45648,Yes,Yes,Yes,Yes,Yes,No,No,No,"Service providers, including any subcontractors, provide an appropriate level of protection for any data entrusted to them or their services.",,,
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Contractual security requirements with service providers,ISM-0072,9,45648,Yes,Yes,Yes,Yes,Yes,No,No,No,"Security requirements associated with the confidentiality, integrity and availability of data are documented in contractual arrangements with service providers and reviewed on a regular and ongoing basis to ensure they remain fit for purpose.",,,
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Contractual security requirements with service providers,ISM-1571,3,45648,Yes,Yes,Yes,Yes,Yes,No,No,No,The right to verify compliance with security requirements is documented in contractual arrangements with service providers.,,,
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Contractual security requirements with service providers,ISM-1738,1,45648,Yes,Yes,Yes,Yes,Yes,No,No,No,The right to verify compliance with security requirements documented in contractual arrangements with service providers is exercised on a regular and ongoing basis.,,,
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Contractual security requirements with service providers,ISM-1804,0,45648,Yes,Yes,Yes,Yes,Yes,No,No,No,Break clauses associated with failure to meet security requirements are documented in contractual arrangements with service providers.,,,
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Contractual security requirements with service providers,ISM-0141,7,45648,Yes,Yes,Yes,Yes,Yes,No,No,No,The requirement for service providers to report cyber security incidents to a designated point of contact as soon as possible after they occur or are discovered is documented in contractual arrangements with service providers.,,,
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Contractual security requirements with service providers,ISM-1794,1,45648,Yes,Yes,Yes,Yes,Yes,No,No,No,A minimum notification period of one month by service providers for significant changes to their own service provider arrangements is documented in contractual arrangements with service providers.,,,
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Contractual security requirements with service providers,ISM-1451,4,45648,Yes,Yes,Yes,Yes,Yes,No,No,No,Types of data and its ownership is documented in contractual arrangements with service providers.,,,
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Contractual security requirements with service providers,ISM-1572,3,45466,Yes,Yes,Yes,Yes,Yes,No,No,No,"The regions or availability zones where data will be processed, stored and communicated, as well as a minimum notification period for any configuration changes, is documented in contractual arrangements with service providers.",,,
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Contractual security requirements with service providers,ISM-1573,3,45648,Yes,Yes,Yes,Yes,Yes,No,No,No,Access to all logs relating to an organisation’s data and services is documented in contractual arrangements with service providers.,,,
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Contractual security requirements with service providers,ISM-1574,3,45648,Yes,Yes,Yes,Yes,Yes,No,No,No,"The storage of data in a portable manner that allows for backups, service migration and service decommissioning without any loss of data is documented in contractual arrangements with service providers.",,,
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Contractual security requirements with service providers,ISM-1575,1,45648,Yes,Yes,Yes,Yes,Yes,No,No,No,A minimum notification period of one month for the cessation of any services by a service provider is documented in contractual arrangements with service providers.,,,
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Access to systems and data by service providers,ISM-1073,5,45464,Yes,Yes,Yes,Yes,Yes,No,No,No,An organisation’s systems and data are not accessed or administered by a service provider unless a contractual arrangement exists between the organisation and the service provider to do so.,,,
Guidelines for Procurement and Outsourcing,Managed services and cloud services,Access to systems and data by service providers,ISM-1576,2,45373,Yes,Yes,Yes,Yes,Yes,No,No,No,"If an organisation’s systems or data are accessed or administered by a service provider in an unauthorised manner, the organisation is immediately notified.",,,
Guidelines for Security Documentation,Development and maintenance of security documentation,Cyber security strategy,ISM-0039,6,45648,Yes,Yes,Yes,Yes,Yes,No,No,No,"A cyber security strategy is developed, implemented and maintained.",,,
Guidelines for Security Documentation,Development and maintenance of security documentation,Approval of security documentation,ISM-0047,4,45431,Yes,Yes,Yes,Yes,Yes,No,No,No,Organisational-level security documentation is approved by the Chief Information Security Officer while system-specific security documentation is approved by the system’s authorising officer.,,,
Guidelines for Security Documentation,Development and maintenance of security documentation,Approval of security documentation,ISM-1739,0,45373,Yes,Yes,Yes,Yes,Yes,No,No,No,A system’s security architecture is approved prior to the development of the system.,,,
Guidelines for Security Documentation,Development and maintenance of security documentation,Maintenance of security documentation,ISM-0888,5,45431,Yes,Yes,Yes,Yes,Yes,No,No,No,Security documentation is reviewed at least annually and includes a ‘current as at [date]’ or equivalent statement.,,,
Guidelines for Security Documentation,Development and maintenance of security documentation,Communication of security documentation,ISM-1602,0,45524,Yes,Yes,Yes,Yes,Yes,No,No,No,"Security documentation, including notification of subsequent changes, is communicated to all stakeholders.",,,
Guidelines for Security Documentation,System-specific security documentation,System security plan,ISM-0041,5,45465,Yes,Yes,Yes,Yes,Yes,No,No,No,Systems have a system security plan that includes a description of the system and an annex that covers both applicable controls from this document and any additional controls that have been identified.,,,
Guidelines for Security Documentation,System-specific security documentation,Cyber security incident response plan,ISM-0043,5,45558,Yes,Yes,Yes,Yes,Yes,No,No,No,"Systems have a cyber security incident response plan that covers the following:
• guidelines on what constitutes a cyber security incident
• the types of cyber security incidents likely to be encountered and the expected response to each type
• how to report cyber security incidents, internally to an organisation and externally to relevant authorities
• other parties which need to be informed in the event of a cyber security incident
• the authority, or authorities, responsible for investigating and responding to cyber security incidents
• the criteria by which an investigation of a cyber security incident would be requested from a law enforcement agency, the Australian Signals Directorate or other relevant authority
• the steps necessary to ensure the integrity of evidence relating to a cyber security incident
• system contingency measures or a reference to such details if they are located in a separate document.",,,
Guidelines for Security Documentation,System-specific security documentation,Continuous monitoring plan,ISM-1163,10,45558,Yes,Yes,Yes,Yes,Yes,No,No,No,"Systems have a continuous monitoring plan that includes:
• conducting vulnerability scans for systems at least fortnightly
• conducting vulnerability assessments and penetration tests for systems prior to deployment, including prior to deployment of significant changes, and at least annually thereafter
• analysing identified vulnerabilities to determine their potential impact
• implementing mitigations based on risk, effectiveness and cost.",,,
Guidelines for Security Documentation,System-specific security documentation,Security assessment report,ISM-1563,1,45465,Yes,Yes,Yes,Yes,Yes,No,No,No,"At the conclusion of a security assessment for a system, a security assessment report is produced by the assessor and covers:
• the scope of the security assessment
• the system’s strengths and weaknesses
• security risks associated with the operation of the system
• the effectiveness of the implementation of controls
• any recommended remediation actions.",,,
Guidelines for Security Documentation,System-specific security documentation,Plan of action and milestones,ISM-1564,0,45432,Yes,Yes,Yes,Yes,Yes,No,No,No,"At the conclusion of a security assessment for a system, a plan of action and milestones is produced by the system owner.",,,
Guidelines for Physical Security,Facilities and systems,Physical access to systems,ISM-0810,6,45558,No,Yes,Yes,Yes,Yes,No,No,No,Systems are secured in facilities that meet the requirements for a security zone suitable for their classification.,,,
Guidelines for Physical Security,Facilities and systems,"Physical access to servers, network devices and cryptographic equipment",ISM-1053,4,45558,No,Yes,Yes,Yes,Yes,No,No,No,"Servers, network devices and cryptographic equipment are secured in server rooms or communications rooms that meet the requirements for a security zone suitable for their classification.",,,
Guidelines for Physical Security,Facilities and systems,"Physical access to servers, network devices and cryptographic equipment",ISM-1530,2,45558,No,Yes,Yes,Yes,Yes,No,No,No,"Servers, network devices and cryptographic equipment are secured in security containers or secure rooms suitable for their classification taking into account the combination of security zones they reside in.",,,
Guidelines for Physical Security,Facilities and systems,"Physical access to servers, network devices and cryptographic equipment",ISM-0813,4,45647,Yes,Yes,Yes,Yes,Yes,No,No,No,"Server rooms, communications rooms, security containers and secure rooms are not left in unsecured states.",,,
Guidelines for Physical Security,Facilities and systems,"Physical access to servers, network devices and cryptographic equipment",ISM-1074,3,45647,Yes,Yes,Yes,Yes,Yes,No,No,No,"Keys or equivalent access mechanisms to server rooms, communications rooms, security containers and secure rooms are appropriately controlled.",,,
Guidelines for Physical Security,Facilities and systems,Physical access to network devices in public areas,ISM-1296,4,45465,Yes,Yes,Yes,Yes,Yes,No,No,No,Physical security is implemented to protect network devices in public areas from physical damage or unauthorised access.,,,
Guidelines for Physical Security,Facilities and systems,Bringing radio frequency and infrared devices into facilities,ISM-1543,4,45648,No,No,No,Yes,Yes,No,No,No,"An authorised RF and IR device register for SECRET and TOP SECRET areas is developed, implemented, maintained and verified on a regular basis.",,,
Guidelines for Physical Security,Facilities and systems,Bringing radio frequency and infrared devices into facilities,ISM-0225,3,45556,No,No,No,Yes,Yes,No,No,No,Unauthorised RF and IR devices are not brought into SECRET and TOP SECRET areas.,,,
Guidelines for Physical Security,Facilities and systems,Bringing radio frequency and infrared devices into facilities,ISM-0829,4,45370,No,No,No,Yes,Yes,No,No,No,Security measures are used to detect and respond to unauthorised RF devices in SECRET and TOP SECRET areas.,,,
Guidelines for Physical Security,Facilities and systems,Preventing observation by unauthorised people,ISM-0164,3,45647,Yes,Yes,Yes,Yes,Yes,No,No,No,"Unauthorised people are prevented from observing systems, in particular workstation displays and keyboards, within facilities.",,,
Guidelines for Physical Security,ICT equipment and media,Securing ICT equipment and media,ISM-0161,5,45370,Yes,Yes,Yes,Yes,Yes,No,No,No,ICT equipment and media are secured when not in use.,,,
Guidelines for Personnel Security,Cyber security awareness training,Providing cyber security awareness training,ISM-0252,7,45373,Yes,Yes,Yes,Yes,Yes,No,No,No,"Cyber security awareness training is undertaken annually by all personnel and covers:
• the purpose of the cyber security awareness training
• security appointments and contacts
• authorised use of systems and their resources
• protection of systems and their resources
• reporting of cyber security incidents and suspected compromises of systems and their resources.",,,
Guidelines for Personnel Security,Cyber security awareness training,Providing cyber security awareness training,ISM-1565,0,45463,Yes,Yes,Yes,Yes,Yes,No,No,No,Tailored privileged user training is undertaken annually by all privileged users.,,,
Guidelines for Personnel Security,Cyber security awareness training,Managing and reporting suspicious changes to banking details or payment requests,ISM-1740,0,45373,Yes,Yes,Yes,Yes,Yes,No,No,No,"Personnel dealing with banking details and payment requests are advised of what business email compromise is, how to manage such situations and how to report it.",,,
Guidelines for Personnel Security,Cyber security awareness training,Reporting suspicious contact via online services,ISM-0817,4,45311,Yes,Yes,Yes,Yes,Yes,No,No,No,Personnel are advised of what suspicious contact via online services is and how to report it.,,,
Guidelines for Personnel Security,Cyber security awareness training,Posting work information to online services,ISM-0820,5,45311,Yes,Yes,Yes,Yes,Yes,No,No,No,Personnel are advised to not post work information to unauthorised online services and to report cases where such information is posted.,,,
Guidelines for Personnel Security,Cyber security awareness training,Posting work information to online services,ISM-1146,2,45553,Yes,Yes,Yes,Yes,Yes,No,No,No,Personnel are advised to maintain separate work and personal accounts for online services.,,,
Guidelines for Personnel Security,Cyber security awareness training,Posting personal information to online services,ISM-0821,3,45584,Yes,Yes,Yes,Yes,Yes,No,No,No,Personnel are advised of security risks associated with posting personal information to online services and are encouraged to use any available privacy settings to restrict who can view such information.,,,
Guidelines for Personnel Security,Cyber security awareness training,Sending and receiving files via online services,ISM-0824,2,45553,Yes,Yes,Yes,Yes,Yes,No,No,No,Personnel are advised not to send or receive files via unauthorised online services.,,,
Guidelines for Personnel Security,Access to systems and their resources,System usage policy,ISM-1864,0,45558,Yes,Yes,Yes,Yes,Yes,No,No,No,"A system usage policy is developed, implemented and maintained.",,,
Guidelines for Personnel Security,Access to systems and their resources,System access requirements,ISM-0432,7,45647,Yes,Yes,Yes,Yes,Yes,No,No,No,Access requirements for a system and its resources are documented in its system security plan.,,,
Guidelines for Personnel Security,Access to systems and their resources,System access requirements,ISM-0434,7,45373,Yes,Yes,Yes,Yes,Yes,No,No,No,"Personnel undergo appropriate employment screening and, where necessary, hold an appropriate security clearance before being granted access to a system and its resources.",,,
